Marka;Model;İşlemci;RAM;Depolama;Ekran Kartı;Fiyat
Diğer;-;Intel Celeron;128;512;Entegre;8.496,67
Acer;-;AMD Ryzen 5 7520;16;1024;Entegre;10.475,35
Acer;Swift Go 16 Touchscreen;Intel Core Ultra 9;32;1024;Entegre;22.203,05
Diğer;-;Intel Celeron;12;1024;Entegre;8.497,10
Dell;Latitude Touchscreen;Intel Pentium;8;128;Entegre;5.722,95
Diğer;-;Intel Celeron N5095;12;1024;Entegre;8.539,37
SGIN;-;Intel N5095;12;1024;Entegre;8.517,17
Dell;Latitude 3190;Intel Pentium;8;128;Entegre;4.842,49
HP;EliteBook 845 G8;AMD Ryzen PRO 5 5650U;16;256;Entegre;8.966,79
Acer;Swift Go;Intel Core Ultra 7 155H;16;1024;Entegre;16.225,19
HP;EliteBook 845 G8;AMD Ryzen PRO 5 5650U;16;256;Entegre;11.955,29
Apple;Air;Apple M1;8;128;Apple M1 GPU;12.809,27
HP;-;Intel Core i7-10510U;16;512;Entegre;8.539,37
Dell;Latitude Touchscreen;Intel Pentium;8;128;Entegre;6.617,92
Diğer;-;Intel Celeron N5095;12;512;Entegre;8.752,87
Dell;Latitude 3190;Intel Pentium N5030;8;256;Entegre;3.842,91
Dell;-;Intel Core i7-8650U;16;256;Entegre;9.391,65
HP;14-ep2011wm;Intel N150;4;128;Intel UHD;5.935,16
SGIN;-;Intel Celeron;12;1024;Entegre;8.496,67
Acer;Aspire 3;AMD Ryzen 5 7520U;16;1024;Entegre;10.076,54
HP;EliteBook 845 G8;AMD Ryzen PRO 7 5850U;16;512;Entegre;11.742,23
Dell;Latitude E7470;Intel Core i5-6300U;8;256;Entegre;3.201,14
Acer;Swift;Intel Core Ultra 7 256V;16;1024;Entegre;30.363,26
Lenovo;ThinkPad L470;Intel Core i3-7100U;8;128;Entegre;2.495,76
SGIN;-;Intel N5095;12;512;Entegre;12.381,86
HP;ELITEBOOK 745 G6;AMD Ryzen 7 3700U;16;256;Entegre;7.044,91
Chuwi;-;Intel N100;12;512;Entegre;11.955,72
HP;EliteBook 845 G7;AMD Ryzen PRO 5 4650U;16;256;Entegre;8.311,36
Getac;-;Intel Core i5-6200U;8;128;Entegre;5.764,37
Lenovo;-;Intel Celeron;4;16;Entegre;1.494,04
Acer;Nitro V16S;AMD Ryzen 7;16;1024;NVIDIA RTX5060;37.992,29
SGIN;-;Intel Celeron;128;512;Entegre;8.539,37
Dell;Latitude 5430;Intel Core i7-1265U;16;256;Entegre;11.486,03
Acer;Aspire;Intel Core Ultra 5;32;1024;Entegre;19.470,32
Lenovo;ThinkPad T480;Intel Core i5-8250u;16;512;Entegre;11.955,29
Acer;Predator Helios Neo 14 Gaming Notebook;Intel Core Ultra 7;16;1024;NVIDIA RTX4070;32.640,40
Diğer;-;Intel Core i5-8265U;8;1024;Entegre;6.185,80
Lenovo;-;Intel Core Ultra 7 258V;32;1024;Entegre;29.846,60
Acer;Swift Go;Intel Core Ultra 9 285H;32;1024;Entegre;35.653,24
HP;14-ep2012wm;Intel N4020;4;128;Entegre;5.072,64
Dell;Latitude 3189;Intel Celeron;4;128;Entegre;3.373,22
Dell;Latitude 3190;Intel N5030;8;128;Entegre;3.415,92
Dell;-;AMD Ryzen 7 7730U;16;1024;Entegre;19.214,12
Acer;-;Intel Core i7-13620H;16;512;Entegre;17.079,17
Dell;Latitude Laptop;Intel Pentium;8;128;Entegre;5.550,44
Dell;Latitude 3190;Intel N5030;8;128;Entegre;3.159,73
Acer;Aspire 3;Intel N305;8;128;Entegre;7.258,40
Diğer;-;Intel Celeron;8;256;Entegre;7.650,81
Lenovo;-;Intel Core i7-6700HQ;32;1024;Entegre;11.059,04
Acer;-;Intel Core Ultra 5;16;1024;Entegre;17.079,17
HP;EliteBook 845 G8;AMD Ryzen PRO 5 5650U;16;256;Entegre;9.351,08
Lenovo;-;Intel Core i7-1355U;16;512;Entegre;19.176,12
Diğer;-;Intel N97;16;512;Entegre;8.112,38
HP;-;Intel Celeron N4500;4;64;Entegre;8.539,37
Acer;-;AMD Ryzen 3 7320U;8;128;Entegre;8.539,37
Dell;Latitude 3190;Intel Pentium N5030;8;256;Entegre;4.099,10
Diğer;-;Intel Pentium;16;1024;Entegre;8.966,36
SGIN;-;Intel Celeron;4;128;Entegre;8.454,40
Dell;Latitude 5510;Intel Core i5-10310U;16;256;Entegre;11.229,84
HP;-;AMD Ryzen 5 7520U;8;512;Entegre;18.360,14
Asus;Vivobook S14 S5406SA;Intel Core Ultra 7 258V;32;1024;Entegre;29.633,11
HP;ProBook 640 G1;Intel Core i5-4300M;8;128;Entegre;2.517,11
Asus;Vivobook 14;Intel Core i5-1334U;12;256;Entegre;13.661,55
Asus;VivoBook;Intel Core i7-13620H;16;512;Entegre;20.068,10
Lenovo;ThinkPad L13;Intel Core i5-10210U;8;256;Entegre;2.946,23
Lenovo;-;Intel Core i5-12450HX;16;512;NVIDIA RTX3050;22.203,05
Lenovo;-;Intel Core i5-12450HX;16;512;NVIDIA RTX3050;22.203,05
Dell;Latitude 5290;Intel Core i3-8130U;4;256;Entegre;5.081,18
Lenovo;-;AMD Ryzen PRO 5 5650U;16;512;Entegre;12.596,21
Lenovo;-;Intel Core i7-13620H;16;512;Entegre;18.360,14
HP;Elitebook 840 G9;Intel Core i7-1265U;16;512;Entegre;12.809,27
Lenovo;-;Intel Core i5-12450HX;16;512;NVIDIA RTX3050;23.057,03
HP;14;Intel N150;4;128;Entegre;8.025,28
Lenovo;-;Intel Core i5-1335U;16;256;Entegre;15.796,50
Asus;-;Intel Core 5 120U;16;512;Entegre;16.224,77
Dell;Latitude 7410;Intel Core i5-10310U;16;256;Entegre;9.778,07
HP;ProBook;Intel Core i5-8250U;16;480;Entegre;11.399,35
Acer;Chromebook Plus 514;Intel N305;8;512;Entegre;8.539,37
Dell;-;Intel Celeron;8;256;Entegre;7.292,99
Acer;Swift Edge;AMD Ryzen 7;16;1024;Entegre;25.618,97
Dell;Inspiron 15;AMD Ryzen 7 7730U;16;512;Entegre;15.328,94
Lenovo;-;AMD Ryzen 5 4600H;16;512;NVIDIA GTX1650Ti;15.371,64
Acer;-;Intel Celeron N4500;4;64;Entegre;4.269,47
Apple;Pro;Apple M1 Pro;16;512;Apple M1 Pro GPU;26.472,95
Apple;Pro;Apple M1 Pro;16;512;Apple M1 Pro GPU;26.472,95
Dell;Latitude 7410;Intel Core i5-10310U;16;256;Entegre;9.778,07
Acer;-;AMD Ryzen 3 7320U;8;128;Entegre;9.605,14
HP;-;AMD Ryzen 5 7520U;8;512;Entegre;18.360,14
Lenovo;ThinkPad E570;Intel Core i3-6006U;8;256;Entegre;3.373,22
Dell;Latitude 5550;Intel Core Ultra 7 165U;32;512;Entegre;22.416,98
Lenovo;-;AMD Ryzen PRO 5;32;1024;Entegre;25.576,70
HP;ProBook;Intel Core i5-8250U;16;480;Entegre;11.399,35
HP;EliteBook 845 G8;AMD Ryzen PRO 7 5850U;16;512;Entegre;11.101,74
Dell;-;Intel Core i5-1235U;32;1024;Entegre;27.284,66
Acer;-;AMD Ryzen 5 7520U;8;512;Entegre;10.674,32
Chuwi;-;Intel Celeron N4020;8;256;Entegre;7.899,32
Lenovo;-;Intel Core i5-10210U;8;256;Entegre;6.404,42
HP;EliteBook XG1i;Intel Core Ultra 7 256V;16;512;Entegre;30.700,58
HP;-;Intel Core Ultra 7 165H;32;512;Entegre;34.116,50
SGIN;-;Intel N5095;12;1024;Entegre;8.497,10
HP;EliteBook 630 G10;Intel Core i7-1365U;32;256;Entegre;20.495,09
Dell;-;Intel Core Ultra 9 288V;32;1024;Entegre;34.116,50
Dell;Inspiron 15;Intel Core i5-1334U;8;512;Entegre;13.663,25
Diğer;-;Intel Pentium;16;1024;Entegre;9.393,35
Chuwi;-;Intel Celeron N4000;8;256;Entegre;7.429,20
Dell;Inspiron 15;Intel Core i5-1334U;8;512;Entegre;13.663,25
Dell;Latitude 14;Intel Core i7-1355U;16;256;Entegre;20.238,90
Lenovo;Legion Pro 7i Gen 10 OLED Ultra 9 275HX RTX5080;Intel Core Ultra 9 275HX;32;2048;NVIDIA RTX5080;91.760,15
Lenovo;Thinkpad;AMD Ryzen PRO 5;48;4096;Entegre;20.709,02
Dell;Inspiron 15;AMD Ryzen 7 7730U;16;512;Entegre;11.742,23
Asus;Vivobook 16  WUXGA Notebook;Intel Core i7-1355U;16;1024;Entegre;21.349,07
HP;-;AMD Ryzen PRO 5;64;2048;Entegre;26.003,69
Dell;Latitude E5540;Intel Core i5-4300u;16;500;Entegre;3.415,49
HP;-;AMD Ryzen 7;24;1024;Entegre;25.191,98
Lenovo;ThinkPad;Intel Core i5-8250U;16;256;Entegre;9.598,31
HP;EliteBook 845 G8;AMD Ryzen PRO 5 5650U;16;512;Entegre;7.256,70
HP;17;AMD Ryzen 5 7430U;8;256;Entegre;15.798,20
Acer;Aspire 14 AI;Intel Core Ultra 5;16;1024;Entegre;16.737,58
Diğer;-;Intel Pentium;16;1024;Entegre;9.778,07
HP;15-FC0245DX;AMD Ryzen 5 7520U;16;256;Entegre;14.944,22
Lenovo;ThinkPad T480s Touch;Intel Core i5-8350U;8;256;Entegre;7.258,40
Lenovo;-;Intel Core i5-3320;8;320;Entegre;6.404,85
Panasonic;-;Intel Core i5-3610ME;16;1024;Entegre;15.585,14
HP;EliteBook 845 G8;AMD Ryzen PRO 5 5650U;16;512;Entegre;7.256,70
Lenovo;-;Intel Core i5-3320;8;320;Entegre;6.404,85
Panasonic;-;Intel Core i5-3610ME;16;1024;Entegre;15.585,14
Acer;Aspire 14 AI;Intel Core Ultra 5;16;1024;Entegre;16.737,58
Diğer;-;Intel Pentium;16;1024;Entegre;9.778,07
HP;15-FC0245DX;AMD Ryzen 5 7520U;16;256;Entegre;14.944,22
Lenovo;Thinkpad;AMD Ryzen PRO 5;48;4096;Entegre;33.604,11
HP;17;AMD Ryzen 5 7430U;8;256;Entegre;15.798,20
HP;-;Intel Core i5-8365U;16;256;Entegre;9.179,86
Lenovo;ThinkPad T14 Gen 1 i5-10310U;Intel Core i5-10310U;16;256;Entegre;10.337,43
Lenovo;ThinkPad T480s Touch;Intel Core i5-8350U;8;256;Entegre;7.258,40
HP;Chromebook;Intel Pentium N5030;4;128;Entegre;5.763,94
HP;EliteBook 845 G8;AMD Ryzen PRO 5 5650U;16;256;Entegre;8.539,37
Diğer;-;AMD Ryzen 5 6600H;8;256;Entegre;12.809,27
Dell;Precision 5550;Intel Core i7-10750H;16;512;Entegre;13.663,68
Lenovo;-;Intel Core I7-6700HQ;16;256;Entegre;4.056,41
HP;EliteBook 830 G7;Intel Core i7-10610U;32;256;Entegre;14.944,22
HP;EliteBook x360 1030 G2;Intel Core i7-7500U;16;256;Entegre;38.429,10
HP;15;Intel Core i7-1355U;32;1024;Entegre;20.895,61
Dell;Latitude 5430;Intel Core i5-1245U;16;256;Entegre;13.663,25
Lenovo;ThinkPad;AMD Ryzen PRO 5;16;512;Entegre;11.099,61
HP;EliteBook 845 G8;AMD Ryzen PRO 5 5650U;16;512;Entegre;8.539,37
Dell;Latitude 3190;Intel Pentium;4;128;Entegre;3.200,29
Dell;Latitude 9410;Intel Core i7-10610U;16;512;Entegre;12.767,00
Samsung;Galaxy Book 4;Intel Core 7 150U;16;512;Entegre;20.495,09
Dell;-;Intel Core i5-1235U;32;1024;Entegre;27.284,66
Lenovo;-;Intel Core i7-8665U;8;512;Entegre;10.162,36
Dell;Latitude 3120;Intel Pentium N6000;8;256;Entegre;4.611,49
Dell;Latitude 3120;Intel Pentium N6000;8;128;Entegre;3.712,68
HP;-;Intel Core i3-1315U;64;2048;Entegre;16.668,41
Dell;Latitude 5421;Intel Core i5-11400H;8;256;Entegre;6.831,41
Acer;Aspire 3;AMD Ryzen 5 7520U;8;512;Entegre;9.929,65
Dell;XPS 15;Intel Core i5-10300H;16;256;Entegre;11.486,03
Lenovo;Legion Pro 5i Gen 10;Intel Core Ultra 9 275HX;32;1024;NVIDIA RTX5070Ti;70.410,65
Diğer;-;Intel Celeron;4;256;Entegre;8.497,10
Dell;-;Intel Core Ultra 9 288V;32;1024;Entegre;28.821,83
Dell;-;Intel Celeron N4000;4;16;Entegre;725,46
Dell;Latitude 3445;AMD Ryzen 3;8;256;Entegre;5.443,70
Lenovo;-;Intel Core i5-4330M;16;512;Entegre;8.497,10
Panasonic;-;Intel Core i7-7600U;16;512;Entegre;17.079,17
Dell;Latitude 7410;Intel Core i7-10610U;16;512;Entegre;9.820,34
Dell;Latitude 3300;Intel Core i3-7020U;8;128;Entegre;3.159,73
Dell;Latitude 5410;Intel Core i5-10210u;8;256;Entegre;5.469,74
Dell;Inspiron 15;AMD Ryzen 7 7730U;16;512;Entegre;16.012,13
Dell;-;Intel Core i5-1334U;8;512;Entegre;15.584,71
Dell;Latitude E6540;Intel Core i7-4610M;8;256;Entegre;5.337,38
Microsoft;Surface Pro 4;Intel Core i5-6300U;4;128;Entegre;2.476,54
HP;EliteBook;AMD Ryzen 5;16;512;Entegre;7.256,70
Dell;Latitude 7490;Intel Core i5-8250U;16;512;Entegre;9.858,77
Chuwi;-;Intel Core i5-1035;16;512;Entegre;10.407,45
Dell;-;Intel Core Ultra 7 268V;32;512;Entegre;38.386,40
Lenovo;Thinkpad T490 Quad Core i5-8365U;Intel Core i5-8365U;16;512;Entegre;9.818,64
Diğer;-;Intel Celeron N3350;4;256;Entegre;3.842,48
HP;-;AMD Ryzen PRO 5 5600U;16;256;Entegre;8.539,80
Lenovo;-;Intel Core i5-4330M;16;512;Entegre;8.497,10
Lenovo;ThinkPad T14 Gen 1 i5-10310U;Intel Core i5-10310U;16;256;Entegre;10.337,43
Lenovo;Yoga 7 2-in-1;AMD Ryzen 7 8840HS;16;512;Entegre;26.366,21
HP;-;Intel Core i7-6820HQ;16;256;Entegre;7.471,90
Lenovo;ThinkPad E570;Intel Core i3-6006U;8;256;Entegre;4.227,20
Dell;Latitude E7470-;Intel Core i7-6600U;16;220;Entegre;3.159,73
Dell;-;Intel Core Ultra 9 288V;32;1024;Entegre;25.405,91
Lenovo;ThinkPad T14 FHD;Intel Core i5-10310u;16;512;Entegre;11.869,90
HP;17;Intel Core Ultra 7;64;2048;Entegre;46.674,28
Dell;Latitude 7400;Intel Core i5-8265U;16;256;Entegre;7.258,40
Chuwi;-;Intel N100;12;512;Entegre;11.374,59
SGIN;-;Intel Celeron;4;256;Entegre;8.497,10
Lenovo;Thinkpad C14 Gen 1 Chromebook;Intel Core i5-1245U;8;256;Entegre;7.643,12
HP;-;Intel Core i7-8565U;16;256;Entegre;11.528,30
Diğer;-;Intel N150;16;512;Entegre;14.269,15
Lenovo;-;Intel Core i5-8265U;8;128;Entegre;4.455,64
Dell;Inspiron 3505;AMD Ryzen 3 3250U;8;256;Entegre;5.508,17
Chuwi;-;Intel Celeron N4000;8;256;Entegre;7.258,40
Lenovo;-;Intel Core i5-8365U;8;256;Entegre;4.994,50
HP;EliteBook 840 G6;Intel Core i7-8665U;16;500;Entegre;7.472,33
Lenovo;-;Intel Core I5-10210U;16;256;Entegre;4.269,90
Lenovo;ThinkPad P16 Gen 2 16 4k OLED Touch  RTX 5000Ada i;Intel Core i9-13950HX;128;4096;NVIDIA RTX5000;149.403,80
Diğer;-;Intel N150;16;512;Entegre;15.755,93
Dell;Latitude E7470;Intel Core i7-6600U;32;1024;Entegre;12.787,92
Dell;Latitude 7400;Intel Core i5-8365U;32;1024;Entegre;10.205,06
Dell;Latitude 5430;Intel Core i5-1245U;16;256;Entegre;12.809,27
Panasonic;-;Intel Core i5-6300U;8;256;Entegre;9.607,28
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Lenovo;-;Intel Core i5-13420H;8;512;Intel UHD;20.710,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.005,50
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Lenovo;-;Intel Core Ultra 5 125H;16;512;Entegre;37.999,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;23.499,00
Lenovo;Yoga Slim 7 14IMH9 83CV007NTR Ultra 5 125H 16 GB 5;Intel Core Ultra 5 125H;16;512;Entegre;40.999,00
Lenovo;IdeaPad Slim 3 16IRH10 83K2001RTR i5-13420H 8 GB 5;Intel Core i5-13420H;8;512;Intel UHD;21.449,03
Lenovo;-;Intel Core i5-13420H;8;512;Intel UHD;20.399,00
Lenovo;-;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;17.408,00
Lenovo;IdeaPad 5 14IRH9 83KX003UTR i5-13420H 8 GB 512 GB ;Intel Core i5-13420H;8;512;Intel UHD;29.998,00
Lenovo;ThinkBook 14 G4 IML 21MX002VTR Ultra 7 155U 16 GB ;Intel Core Ultra 7 155U;16;512;Entegre;41.999,00
Lenovo;-;AMD Ryzen 5 7520U;16;512;AMD Radeon 610M;19.399,00
Lenovo;IdeaPad 5 14IRH9 83KX004FTR i5-13420H 16 GB 512 GB;Intel Core i5-13420H;16;512;Intel UHD;33.249,05
Lenovo;ThinkPad T14 Gen 5 21ML008MTX Ultra 7 155U 32 GB 1;Intel Core Ultra 7 155U;32;1024;Entegre;61.771,51
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;24.999,00
Lenovo;ThinkPad E16 Gen 2 21MA009ATX Ultra 7 155H 32 GB 1;Intel Core Ultra 7 155H;32;1024;Entegre;53.959,05
Lenovo;ThinkBook 16 G6 IRL 21KH001ETR i5-1335U 16 GB 512 ;Intel Core i5-1335U;16;512;Intel Iris Xe;29.373,06
Lenovo;Ideapad Slim 5 14IRH10;Intel Core i5-13420h;16;512;Entegre;29.002,03
Lenovo;ThinkPad E16 Gen 3 21SR006RTX Ultra 7 255H 16 GB;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.499,03
Lenovo;ThinkBook 14 G6 IRL 21KG004NTR i7-13700H 16 GB 512;Intel Core i7-13700H;16;512;Intel Iris Xe;34.999,00
Lenovo;IdeaPad 5 14IRH9 83KX003TTR i7-13620H 16 GB 1 TB S;Intel Core i7-13620H;16;1024;Intel UHD;50.974,06
Lenovo;-;AMD Ryzen 7 5825U;16;512;AMD Radeon;20.899,05
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Lenovo;-;Intel Core i5-13420H;8;512;Intel UHD;20.710,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.005,50
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Lenovo;-;Intel Core Ultra 5 125H;16;512;Entegre;37.999,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;23.499,00
Lenovo;Yoga Slim 7 14IMH9 83CV007NTR Ultra 5 125H 16 GB 5;Intel Core Ultra 5 125H;16;512;Entegre;40.999,00
Lenovo;IdeaPad Slim 3 16IRH10 83K2001RTR i5-13420H 8 GB 5;Intel Core i5-13420H;8;512;Intel UHD;21.449,03
Lenovo;-;Intel Core i5-13420H;8;512;Intel UHD;20.399,00
Lenovo;-;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;17.408,00
Lenovo;IdeaPad 5 14IRH9 83KX003UTR i5-13420H 8 GB 512 GB ;Intel Core i5-13420H;8;512;Intel UHD;29.998,00
Lenovo;ThinkBook 14 G4 IML 21MX002VTR Ultra 7 155U 16 GB ;Intel Core Ultra 7 155U;16;512;Entegre;41.999,00
Lenovo;-;AMD Ryzen 5 7520U;16;512;AMD Radeon 610M;19.399,00
Lenovo;IdeaPad 5 14IRH9 83KX004FTR i5-13420H 16 GB 512 GB;Intel Core i5-13420H;16;512;Intel UHD;33.249,05
Lenovo;ThinkPad T14 Gen 5 21ML008MTX Ultra 7 155U 32 GB 1;Intel Core Ultra 7 155U;32;1024;Entegre;61.771,51
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;24.999,00
Lenovo;ThinkPad E16 Gen 2 21MA009ATX Ultra 7 155H 32 GB 1;Intel Core Ultra 7 155H;32;1024;Entegre;53.959,05
Lenovo;ThinkBook 16 G6 IRL 21KH001ETR i5-1335U 16 GB 512 ;Intel Core i5-1335U;16;512;Intel Iris Xe;29.373,06
Lenovo;Ideapad Slim 5 14IRH10;Intel Core i5-13420h;16;512;Entegre;29.002,03
Lenovo;ThinkPad E16 Gen 3 21SR006RTX Ultra 7 255H 16 GB;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.499,03
Lenovo;ThinkBook 14 G6 IRL 21KG004NTR i7-13700H 16 GB 512;Intel Core i7-13700H;16;512;Intel Iris Xe;34.999,00
Lenovo;IdeaPad 5 14IRH9 83KX003TTR i7-13620H 16 GB 1 TB S;Intel Core i7-13620H;16;1024;Intel UHD;50.974,06
Lenovo;-;AMD Ryzen 7 5825U;16;512;AMD Radeon;20.899,05
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Lenovo;-;Intel Celeron N4120;4;128;Intel UHD;17.999,00
Lenovo;-;Intel Core i5-10300H;8;256;NVIDIA GTX1650;60.606,05
Lenovo;-;AMD Ryzen 5 7520U;8;256;AMD Radeon;27.000,00
Lenovo;-;AMD Ryzen 5 3500U;8;512;Entegre;29.999,90
Lenovo;ThinkPad E14 Gen 5 21JR0009TX Ryzen 5 7530U 16 GB ;AMD Ryzen 5 7530U;16;512;AMD Radeon;56.550,88
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Lenovo;-;Intel Core i5-13420H;8;512;Intel UHD;20.710,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.005,50
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Lenovo;-;Intel Core Ultra 5 125H;16;512;Entegre;37.999,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;23.499,00
Lenovo;Yoga Slim 7 14IMH9 83CV007NTR Ultra 5 125H 16 GB 5;Intel Core Ultra 5 125H;16;512;Entegre;40.999,00
Lenovo;IdeaPad Slim 3 16IRH10 83K2001RTR i5-13420H 8 GB 5;Intel Core i5-13420H;8;512;Intel UHD;21.449,03
Lenovo;-;Intel Core i5-13420H;8;512;Intel UHD;20.399,00
Lenovo;-;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;17.408,00
Lenovo;IdeaPad 5 14IRH9 83KX003UTR i5-13420H 8 GB 512 GB ;Intel Core i5-13420H;8;512;Intel UHD;29.998,00
Lenovo;ThinkBook 14 G4 IML 21MX002VTR Ultra 7 155U 16 GB ;Intel Core Ultra 7 155U;16;512;Entegre;41.999,00
Lenovo;-;AMD Ryzen 5 7520U;16;512;AMD Radeon 610M;19.399,00
Lenovo;IdeaPad 5 14IRH9 83KX004FTR i5-13420H 16 GB 512 GB;Intel Core i5-13420H;16;512;Intel UHD;33.249,05
Lenovo;ThinkPad T14 Gen 5 21ML008MTX Ultra 7 155U 32 GB 1;Intel Core Ultra 7 155U;32;1024;Entegre;61.771,51
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;24.999,00
Lenovo;ThinkPad E16 Gen 2 21MA009ATX Ultra 7 155H 32 GB 1;Intel Core Ultra 7 155H;32;1024;Entegre;53.959,05
Lenovo;Thınkpad L530 İ5 3210U;Intel Core İ5-3210U;8;256;Entegre;9.143,31
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;Intel Core İ7-6700Hq;12;240;Entegre;9.478,80
Lenovo;Thinkpad E460 B Kalite;Intel Core I5-6200U;2;256;Entegre;9.810,50
Lenovo;-;Intel Core i3-5005U;8;128;Entegre;10.023,62
Lenovo;Ideapad Slim 3 15Ian8;Intel N100;4;128;Intel UHD;10.460,00
Lenovo;Thınkpad Edge E540 Notebook İ5 4200M;Intel Core İ5-4200M;8;256;Entegre;10.463,78
Lenovo;Ideapad 1;Intel Celeron N4120;4;128;Entegre;10.879,00
Lenovo;ideaPad 120S-14Iap Pentıum N4200;Intel Pentium N4200;4;128;Entegre;10.903,93
Lenovo;Ideapad 1 Celeron N4020-;Intel Celeron N4020;4;128;Entegre;10.961,00
Lenovo;IdeaPad;Intel Celeron;4;128;Entegre;10.979,00
Lenovo;-;Intel N4120;4;128;Intel UHD;10.999,00
Lenovo;-;Intel Celeron N4020;4;128;Intel UHD;11.089,06
Lenovo;-;Intel N4020;4;128;Intel UHD;11.089,06
Lenovo;-;Intel Core İ5-7200U;16;480;Entegre;11.100,00
Lenovo;-;Intel Core İ5-4210U;8;256;Entegre;12.488,49
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Asus;ZenBook Duo UX8406CA-PZ062W Ultra 7 255H 32 GB 1 T;Intel Core Ultra 7 255H;32;1024;Intel Arc 140T;88.199,02
Asus;-;Intel Core i5-1334U;8;512;Intel Iris Xe;21.899,00
